Season,TeamName,eFGPct_Off,RankeFGPct_Off,TOPct_Off,RankTOPct_Off,ORPct_Off,RankORPct_Off,FTRate_Off,RankFTRate_Off
2023,Penn St.,55.44765514,10,13.70647703,7,19.1722973,360,21.2695405,361
2023,Pepperdine,52.01434879,90,18.36477553,208,25.96153846,255,26.71081678,325
2023,Pittsburgh,52.49879865,70,16.32561438,60,29.49756888,151,32.86881307,124
2023,Portland,53.69935408,36,18.06970388,174,24.28711898,311,43.21785085,6
2023,Portland St.,49.5915986,221,16.7929527,79,23.98843931,316,34.77246208,74
2023,Prairie View A&M,44.79638009,355,19.63492788,283,31.67420814,78,33.03167421,119
2023,Presbyterian,47.31352718,319,20.79634148,326,29.83316977,140,36.47281922,49
2023,Princeton,52.19842165,83,16.46130266,65,28.13397129,196,30.38331454,213
2023,Providence,51.13924051,146,16.86632781,84,34.72584856,16,36.30379747,52
2023,Purdue,51.83367769,102,17.21088322,100,38.35860839,3,37.19008264,37
2023,Purdue Fort Wayne,50.53824363,181,18.94800577,241,27.10453284,226,28.66855524,269
2023,Queens,51.21606335,141,17.64615439,140,29.7497683,146,35.85972851,57
2023,Quinnipiac,49.97289973,210,18.14173808,179,32.18495014,63,33.00813008,120
2023,Radford,51.28138075,135,18.32351178,202,30.94812165,96,27.35355649,309
2023,Rhode Island,44.19263456,357,20.38602834,315,31.56521739,86,36.99716714,43
2023,Rice,53.02539168,52,18.01969264,166,24.05876951,315,32.46893571,132
2023,Richmond,51.17252931,143,17.08124266,92,20.98421541,348,32.99832496,121
2023,Rider,49.49253731,226,17.86018253,153,33.99374348,27,29.25373134,247
2023,Robert Morris,49.18309859,245,19.54076795,272,29.71216342,148,26.92957746,319
2023,Rutgers,47.93737575,299,17.12608417,96,32.11083945,67,28.18091451,285
2023,SIU Edwardsville,48.5005767,283,18.49841249,214,30.5785124,111,40.25374856,16
2023,SMU,47.44658676,314,18.00338926,164,28.0804694,198,33.03804065,117
2023,Sacramento St.,50.82417582,167,20.77318089,324,32.88934426,48,27.53357753,303
2023,Sacred Heart,48.39710445,289,18.77373006,232,28.80203908,174,27.55946225,301
2023,Saint Joseph's,50.15625,200,18.24356898,192,28.93401015,167,34.21875,92
2023,Saint Louis,52.14547357,87,17.27262557,108,29.72477064,147,29.09471481,257
2023,Saint Mary's,52.00739567,91,16.39090946,63,32.54113346,58,32.01267829,156
2023,Saint Peter's,43.91353811,359,19.61133892,280,36.41975309,7,28.44141069,273
2023,Sam Houston St.,50.69908815,176,19.91294405,297,30.50847458,117,32.27963526,139
2023,Samford,53.54632588,41,17.88508831,157,28.15533981,195,41.02236422,12
2023,San Diego,51.08138873,150,15.98752193,45,28.16764133,194,30.90495162,198
2023,San Diego St.,49.31318681,238,17.28005969,109,31.61538462,82,33.24175824,112
2023,San Francisco,53.59202937,39,19.60606336,279,28.55831038,184,32.24960671,142
2023,San Jose St.,50.15682175,199,18.66205132,224,34.72584856,16,27.18243596,315
2023,Santa Clara,52.39918326,75,17.39488781,119,30.17699115,126,30.57682491,208
2023,Seattle,46.34615385,334,16.85286877,83,29.89417989,135,32.41758242,136
2023,Seton Hall,49.04734411,252,20.11607205,306,30.51001821,116,40.06928406,17
2023,Siena,49.32165065,236,19.48198786,268,30.52930057,113,34.53928773,81
2023,South Alabama,52.8113505,59,14.62131478,10,20.88724584,349,22.33315817,360
2023,South Carolina,46.91224269,327,19.88440125,294,32.67070009,54,26.81473456,323
2023,South Carolina St.,46.93877551,326,20.91426837,328,34.24317618,23,29.19937206,251
2023,South Dakota,50.09259259,205,17.31814334,113,24.84725051,294,28.14814815,287
2023,South Dakota St.,51.72711572,106,17.11078287,93,21.46439318,346,28.09441566,289
2023,South Florida,50.79197466,169,19.55661966,274,33.01559792,44,30.72861668,203
2023,Southeast Missouri St.,50.12159533,203,17.28047962,110,25,286,38.18093385,31
2023,Southeastern Louisiana,50.94773119,158,16.90045631,87,27.64932563,211,32.10798392,153
2023,Southern,48.48396501,284,20.55013959,317,24.39961575,308,34.4606414,84
2023,Southern Illinois,51.65762508,112,19.29508,260,22.76923077,334,30.56057866,210
2023,Southern Indiana,50.24590164,195,18.1994845,185,32.14596003,66,33.49726776,108
2023,Southern Miss,50.8650519,163,17.97196131,163,30.78412391,103,32.1799308,147
2023,Southern Utah,51.9837233,93,18.58701966,220,27.91878173,204,39.52187182,19
2023,St. Bonaventure,49.1638796,247,18.82943669,234,27.48858447,216,29.48717949,238
2023,St. Francis NY,45.93810445,339,21.1618952,335,30.92369478,98,31.14119923,190
2023,St. Francis PA,51.91239975,97,18.34484051,204,25.31380753,278,32.81924738,125
2023,St. John's,49.39786938,233,18.69329044,228,34.0408805,25,27.74432608,298
2023,St. Thomas,51.8486917,101,15.10301637,19,23.91093901,317,30.65984073,206
2023,Stanford,52.42849433,71,18.92607147,239,31.14754098,95,29.41176471,241
2023,Stephen F. Austin,51.46252285,122,21.30850541,338,31.63265306,80,38.93967093,26
2023,Stetson,53.5338785,43,15.86729174,39,29.37625755,154,25.81775701,336
2023,Stonehill,50.85823268,164,19.66417205,284,19.13319239,361,32.16783217,149
2023,Stony Brook,47.45398773,312,19.57316209,275,21.92046557,342,29.44785276,240
2023,Syracuse,51.51354222,119,16.93789627,88,29.97224792,133,30.64259161,207
2023,TCU,49.97650376,209,16.70498238,74,32.1857486,62,34.06954887,96
2023,Tarleton St.,47.55400254,309,18.2842616,198,26.04790419,253,47.64930114,1
2023,Temple,49.68996618,216,19.83376653,290,28.72928177,177,34.55467869,80
2023,Tennessee,49.88078207,212,18.11143153,177,36.42072214,6,30.66285169,205
2023,Tennessee Martin,50.42906178,189,16.79854069,80,26.96310312,230,36.09839817,54
